ID,Category,Content,Penalty,Difficulty
10,SECRET,"[ĐỌC THẦM] Trong 5 phút tới, hãy lén bỏ 1 vật lạ (giấy ăn, nắp chai) vào túi áo/quần người bên cạnh. Nếu trót lọt, họ uống.","Bị phát hiện tự uống 1 ly",Tactical
11,GROUP_TRUTH,"Never Have I Ever: Ai đã từng xem điện thoại trộm của người yêu? Tự giác cầm ly lên.","Người có tật giật mình uống 1 ly",Chaos
12,DARE,"Múa một bài TikTok đang hot (hoặc múa quạt) trong 30 giây trước mặt cả bàn.","Không làm uống 2 ly",Fun
13,TRUTH,"Khai thật: Ấn tượng đầu tiên của bạn về người ngồi bên trái là gì (Tốt/Xấu)?","Không nói uống 1 ly",Fun
14,PARTNER,"Chọn 1 đồng đội. Hai bạn thi Nhìn mắt (Staring Contest). Ai chớp mắt hoặc cười trước thì thua.","Người thua uống 1 ly",Fun
15,MINI-GAME,"Oẳn tù tì với người bên phải. Người thua uống.","Người thua uống 1 ly",Easy
16,VOTE,"Đếm 1-2-3, chỉ tay vào người có khả năng 'ế' lâu nhất. Ai bị chỉ nhiều nhất uống.","Uống 1 ly an ủi",Fun
17,BRAIN,"Kể tên 5 loại bia/rượu trong vòng 10 giây. Vấp là phạt.","Không kể được uống 1 ly",Skill
18,SKILL,"Xếp tháp bia: Dùng 3 lon bia rỗng xếp chồng lên nhau trong 10 giây.","Đổ tháp uống 1 ly",Skill
19,CURSE,"Lời nguyền English Only: Trong 1 vòng tới, cấm nói tiếng Việt. Chỉ được dùng Tiếng Anh hoặc Body Language.","Nói tiếng Việt uống 1 ly",Hard
20,ITEM,"[GIỮ LẠI] Thẻ Miễn Tử: Dùng để bỏ qua bất kỳ 1 hình phạt nào (trừ hình phạt Buddy).","Không uống",Tactical
21,SECRET,"[ĐỌC THẦM] Giả vờ say và ngục đầu xuống bàn trong 1 phút. Nếu ai hỏi thăm 'Có sao không?', người đó dính bẫy và phải uống.","Người hỏi thăm uống 1 ly",Tactical
22,GROUP_TRUTH,"Ai đang độc thân vui lòng đứng dậy cụng ly và uống.","Hội độc thân uống 1 ly",Fun
23,DARE,"Để người bên phải đăng 1 status bất kỳ lên Facebook/Zalo của bạn. Không được xóa trong 24h.","Không làm uống 3 ly",Hard
24,TRUTH,"Đã bao giờ cắm sừng ai chưa? Hoặc đã bao giờ làm người thứ 3 chưa?","Không trả lời uống 2 ly",Chaos
25,PARTNER,"Chọn 1 người khác giới. Hai bạn uống giao bôi (khoác tay nhau) hết ly này.","Cả 2 uống 1 ly",Fun
26,MINI-GAME,"Thi Vật ngón tay cái với người ngồi xa bạn nhất.","Người thua uống 1 ly",Fun
27,VOTE,"Ai là người hay bùng kèo hoặc đi trễ nhất nhóm? Chỉ tay vào mặt nó.","Kẻ hay đi trễ uống 2 ly",Chaos
28,BRAIN,"Vòng tròn số học: Đếm số từ 1. Đến số có chứa số 7 hoặc chia hết cho 7 (7, 14, 17...) thì phải vỗ tay thay vì đọc.","Sai uống 1 ly",Skill
29,SKILL,"Búng nắp chai: Búng nắp chai sao cho nó lật ngửa lại. Có 3 lượt thử.","Thất bại uống 1 ly",Skill
30,CURSE,"Cấm dùng điện thoại cho đến khi đến lượt tiếp theo của bạn. Ai cầm máy check tin nhắn phạt.","Vi phạm uống 1 ly",Hard
31,BUDDY,"Chọn người ngồi đối diện làm Kẻ thù. Hễ bạn uống, người đó được quyền cười vào mặt bạn (không phải uống). Nhưng nếu bạn thoát phạt, người đó uống.","Người thua cuộc uống 1 ly",Tactical
32,ITEM,"[GIỮ LẠI] Thẻ Chuyển Hướng: Chuyển hình phạt của bạn cho người ngồi bên trái.","Người bên trái uống thay 1 ly",Tactical
33,SECRET,"[ĐỌC THẦM] Tìm cách để người bên phải nói từ KHÔNG. Nếu họ nói, hô 'Dính rồi' và họ phải uống.","Người nói từ Không uống 1 ly",Tactical
34,GROUP_TRUTH,"Ai đã từng đi vệ sinh mà quên xả nước (hoặc hết giấy) ở nơi công cộng? Tự thú đi.","Người ở bẩn uống 1 ly",Fun
35,DARE,"Cho phép người bên trái kiểm tra lịch sử tìm kiếm Google/Youtube của bạn.","Không dám thì uống 2 ly",Hard
36,TRUTH,"Xếp hạng nhan sắc 3 người khác giới trong bàn này (từ cao xuống thấp).","Không làm uống 1 ly",Chaos
37,PARTNER,"Chọn 1 người hát song ca với bạn một đoạn điệp khúc bất kỳ.","Hát lệch tông cả 2 uống 1 ly",Fun
38,MINI-GAME,"Thi Giữ thăng bằng: Ai đứng một chân lâu hơn thì thắng.","Người thua uống 1 ly",Skill
39,VOTE,"Ai là người có tửu lượng cao nhất (Chiến thần)? Chỉ tay vào người đó.","Chiến thần uống 1 ly thể hiện",Fun
40,BRAIN,"Kể tên các loài vật bắt đầu bằng chữ C. Theo vòng tròn. Ai bí uống.","Thua uống 1 ly",Skill
41,SKILL,"Thảy hạt lạc lên cao và đớp bằng miệng. 3 cơ hội.","Rớt hết uống 1 ly",Skill
42,CURSE,"Lời nguyền Sếp: Bạn được quyền sai bảo mọi người rót bia, gắp mồi trong 3 phút. Ai cãi phạt.","Người cãi lời uống 1 ly",Tactical
43,ITEM,"[GIỮ LẠI] Thẻ X2 Sát Thương: Khi ai đó bị phạt 1 ly, dùng thẻ này để bắt họ uống thành 2 ly.","Nạn nhân uống 2 ly",Tactical
44,SECRET,"[ĐỌC THẦM] Cố gắng chạm vào tóc của 2 người khác nhau trong 3 phút mà không bị phát hiện.","Bị phát hiện uống 1 ly",Tactical
45,GROUP_TRUTH,"Ai mặc đồ lót màu đen/tối màu ngày hôm nay? Tự giác uống.","Team đồ đen uống 1 ly",Fun
46,DARE,"Nhắn tin cho Sếp hoặc Đồng nghiệp khác giới: 'Em thấy cô đơn quá'.","Không làm uống 3 ly",Chaos
47,TRUTH,"Điều xấu hổ nhất bạn từng làm khi say rượu là gì?","Không kể uống 2 ly",Fun
48,PARTNER,"Chọn 1 người chơi trò Chi chi chành chành. Ai bị bắt tay thì thua.","Người thua uống 1 ly",Fun
49,MINI-GAME,"Ai có số dư tài khoản ngân hàng ít hơn thì uống (So sánh với người bên phải).","Người nghèo hơn uống 1 ly",Chaos
50,VOTE,"Ai là người dâm ngầm nhất bàn? Chỉ tay vào người đó.","Kẻ dâm ngầm uống 2 ly",Chaos
51,DARE,"Cho phép người bên phải dùng bút vẽ một hình (hoặc nốt ruồi) lên mặt bạn.","Không làm uống 2 ly",Hard
52,PARTNER,"Chọn một người khác giới. Bạn phải cõng (hoặc bế) người đó đi một vòng quanh bàn nhậu.","Không làm được uống 1 ly",Chaos
53,MINI-GAME,"Thách đấu Thi chớp mắt với người bên trái. Ai chớp mắt trước thì thua.","Người thua uống 1 ly",Fun
54,VOTE,"Đếm 1-2-3, chỉ tay vào người mà bạn nghĩ là giả nai (thảo mai) nhất bàn. Ai bị chỉ nhiều nhất uống.","Người bị chỉ uống 2 ly",Chaos
55,BRAIN,"Vòng tròn Nối Từ: Chủ đề 'Tên các ca sĩ V-Pop'. Bắt đầu từ bạn. Ai bí quá 3s uống.","Người thua uống 1 ly",Skill
56,SKILL,"Đặt một đồng xu (hoặc nắp chai) lên khuỷu tay, sau đó chụp lại bằng bàn tay cùng bên.","Rơi uống 1 ly",Skill
57,CURSE,"Lời nguyền No Name: Trong 1 vòng tới, cấm gọi tên thật của bất kỳ ai. Phải gọi bằng 'Cưng', 'Bạn yêu', 'Nó'.","Vi phạm uống 1 ly",Hard
58,BUDDY,"Chọn người ngồi xa bạn nhất làm Tri kỷ. Trong 5 phút tới, hễ bạn uống thì người đó uống cùng (1:1).","Uống 1 ly (Kèm theo)",Tactical
59,ITEM,"[GIỮ LẠI] Thẻ Khiên Chắn: Dùng để chặn đứng 1 lần bị người khác chỉ định uống.","Không uống",Tactical
60,SECRET,"[ĐỌC THẦM] Lấy trộm điện thoại của người bên cạnh và giấu đi. Nếu trong 2 phút họ không phát hiện ra, họ phải uống.","Bị phát hiện tự uống 1 ly",Chaos
61,GROUP_TRUTH,"Ai đã từng rớt môn/thi lại hoặc bị mời phụ huynh thời đi học? Tự giác nâng ly.","Hội học dốt uống 1 ly",Fun
62,DARE,"Liếm vào nách (hoặc ngửi nách) người ngồi bên trái. Phải nhận xét mùi hương.","Ghê quá thì uống 2 ly",Hard
63,TRUTH,"Kể về nụ hôn đầu đời (First Kiss) của bạn. Ở đâu? Với ai? Cảm giác thế nào?","Không kể uống 2 ly",Fun
64,PARTNER,"Chọn 1 người chơi trò Quay búa bao (Oẳn tù tì bằng tay và đầu). Ai thắng được quyền búng trán người kia.","Người thua uống 1 ly",Fun
65,MINI-GAME,"Mỗi người rút 1 tờ tiền mệnh giá bất kỳ. Ai có số seri đuôi nhỏ nhất thì uống.","Số nhỏ nhất uống 1 ly",Luck
66,VOTE,"Ai là người có khả năng có bầu (hoặc làm người khác có bầu) sớm nhất? Chỉ tay vào người đó.","Người mắn đẻ uống 1 ly",Fun
67,BRAIN,"Liệt kê tên 5 bộ phận trên cơ thể bắt đầu bằng chữ M trong 10 giây.","Không kể được uống 1 ly",Skill
68,SKILL,"Thổi bay 1 tờ giấy ăn đang dán trên trán người đối diện mà không được dùng tay.","Thất bại uống 1 ly",Fun
69,CURSE,"Lời nguyền Hoàng Gia: Trong 1 vòng tới, trước khi uống phải hô 'Kính thưa các quý vị' rồi mới được uống.","Quên hô uống thêm 1 ly",Hard
70,ITEM,"[GIỮ LẠI] Thẻ Đổi Chiều: Đổi chiều vòng chơi từ Trái sang Phải (hoặc ngược lại). Dùng để né lượt uống.","Không uống",Tactical
71,SECRET,"[ĐỌC THẦM] Hãy giả vờ tranh luận gay gắt với người đối diện về một chủ đề vô tri (ví dụ: Con gà có trước hay quả trứng có trước). Ai can ngăn thì người can ngăn uống.","Người can ngăn uống 1 ly",Chaos
72,GROUP_TRUTH,"Ai đang không mặc đồ lót (hoặc thả rông) thì uống.","Uống 1 ly",Chaos
73,DARE,"Gọi video cho bố/mẹ và nói 'Con yêu bố/mẹ nhiều lắm'. Không được cười.","Không làm uống 2 ly",Hard
74,TRUTH,"Nếu phải chọn 1 người trong bàn để yêu, bạn chọn ai? Tại sao?","Không chọn uống 2 ly",Chaos
75,PARTNER,"Chọn 1 người đồng giới. Hai bạn phải uống rượu giao bôi kiểu tình cảm nhất có thể.","Cả 2 uống 1 ly",Fun
76,MINI-GAME,"Thi Ai cao hơn: So chiều cao với người bên phải. Ai thấp hơn uống.","Người lùn hơn uống 1 ly",Fun
77,VOTE,"Ai là người tiêu tiền hoang phí nhất (Shopee thủ)? Chỉ tay vào người đó.","Đại gia uống 1 ly",Fun
78,BRAIN,"Đếm số 1-2-3 theo vòng. Nhưng thay vì nói số, hãy kêu tiếng chó (Gâu), mèo (Meo), lợn (Ủn). Ai nhầm uống.","Nhầm uống 1 ly",Skill
79,SKILL,"Giữ thăng bằng 1 chiếc thìa trên mũi trong 10 giây.","Rơi uống 1 ly",Skill
80,CURSE,"Cấm chỉ tay: Trong 5 phút tới, ai dùng ngón tay chỉ trỏ vào người khác/đồ vật sẽ bị phạt.","Vi phạm uống 1 ly",Hard
81,BUDDY,"Chọn người có ngày sinh gần bạn nhất. Hai bạn là Cặp đôi hoàn cảnh. Trong 1 vòng tới, ai bị phạt người kia uống thay.","Người uống thay uống 1 ly",Tactical
82,ITEM,"[GIỮ LẠI] Thẻ Copy Paste: Khi ai đó phải uống, dùng thẻ này để bắt 1 người khác cũng phải uống y hệt.","Nạn nhân thứ 2 uống 1 ly",Tactical
83,SECRET,"[ĐỌC THẦM] Nhìn chằm chằm vào người đối diện và cười mỉm chi trong 1 phút. Nếu họ hỏi 'Bị điên à?' hoặc 'Sao đấy?' thì họ thua.","Nạn nhân uống 1 ly",Tactical
84,GROUP_TRUTH,"Ai đã từng tè dầm khi đã lớn (trên 10 tuổi)? Tự thú đi.","Kẻ tè dầm uống 1 ly",Fun
85,DARE,"Hát một đoạn Cải lương hoặc Opera (hát thật to) bài hát bất kỳ.","Không hát uống 1 ly",Fun
86,TRUTH,"Bạn ghét tính xấu nào nhất của người yêu cũ?","Không nói uống 1 ly",Fun
87,PARTNER,"Chọn 1 người để Diễn sâu. Hai bạn giả vờ chia tay nhau đẫm nước mắt trước mặt cả bàn.","Diễn dở cả 2 uống 1 ly",Fun
88,MINI-GAME,"Thi Ai cười trước: Bạn và người bên trái làm mặt xấu. Ai cười trước thua.","Người thua uống 1 ly",Fun
89,VOTE,"Ai là người dễ bị lừa tình nhất bàn? Chỉ tay vào Tấm chiếu mới đó.","Tấm chiếu mới uống 1 ly",Fun
90,BRAIN,"Kể tên 3 loại bao cao su (hoặc nhãn hiệu) trong 5 giây. Vấp là uống.","Không biết uống 1 ly",Skill
91,SKILL,"Dùng miệng ngậm thìa múc nước/bia từ bát này sang bát kia.","Làm đổ uống 1 ly",Skill
92,CURSE,"Lời nguyền Robot: Trong 1 vòng tới, mọi cử động (cầm ly, quay đầu) phải giật cục như Robot.","Làm sai uống 1 ly",Fun
93,ITEM,"[GIỮ LẠI] Thẻ Triệu Hồi: Bắt buộc người vừa đi vệ sinh vào phải uống ngay 1 ly mừng quay lại bàn.","Người đi WC uống 1 ly",Tactical
94,SECRET,"[ĐỌC THẦM] Giả vờ làm rơi đũa xuống gầm bàn. Khi cúi xuống nhặt, hãy cấu nhẹ chân người bên cạnh. Nếu họ la lên, họ uống.","Nạn nhân la lên uống 1 ly",Tactical
95,GROUP_TRUTH,"Ai đã từng nói dối bố mẹ để đi chơi với người yêu? Tự giác uống.","Người con bất hiếu uống 1 ly",Fun
96,DARE,"Inbox cho người yêu (hoặc Crush) dòng tin: 'Chúng mình dừng lại đi'. Đợi họ seen mới được giải thích.","Không làm uống 3 ly",Chaos
97,TRUTH,"Nếu được phẫu thuật thẩm mỹ miễn phí, bạn sẽ sửa bộ phận nào trên mặt?","Không nói uống 1 ly",Fun
98,PARTNER,"Chọn 1 người. Hai bạn cùng hô to 'Chúng tôi là những người anh em thiện lành' rồi cùng uống.","Cả 2 uống 1 ly",Fun
99,MINI-GAME,"Oẳn tù tì Thua thắng: Ai ra cái THUA (ví dụ Búa thua Bao) thì mới được coi là thắng.","Làm sai/Thua thật uống 1 ly",Brain100,VOTE,"Ai là người có khả năng bùng tiền nợ nhất? Chỉ mặt đặt tên.","Chúa chổm uống 2 ly",ChaosID,Category,Content,Penalty,Difficulty
1771,ITEM,"[SỰ KIỆN] Nhảy Cóc (Lẻ): Bắt đầu từ bạn là số 1. Những người ở vị trí Lẻ (1, 3, 5, 7...) theo chiều kim đồng hồ phải uống.","Team số Lẻ uống 1 ly",Position
1772,ITEM,"[SỰ KIỆN] Nhảy Cóc (Chẵn): Bắt đầu từ bạn là số 1. Những người ở vị trí Chẵn (2, 4, 6, 8...) theo chiều kim đồng hồ phải uống.","Team số Chẵn uống 1 ly",Position
1773,ITEM,"[SỰ KIỆN] Tam Giác Quỷ: Bạn chọn ra 2 người khác để tạo thành một hình tam giác đều (hoặc gần đều) với bạn. Cả 3 cùng uống.","Tam giác uống 1 ly",Position
1774,ITEM,"[SỰ KIỆN] Bắn Tỉa Xa: Người ngồi xa bạn nhất (đối diện) và 2 người ngồi cạnh người đó (tổng 3 người) bị dính đạn.","Phe đối diện uống 1 ly",Position
1775,ITEM,"[SỰ KIỆN] Lây Lan Cục Bộ: Bạn uống. Người bên Trái bạn uống. Người bên Trái của người đó uống. (Tổng 3 người liên tiếp).","3 người liên tiếp uống",Position
1776,ITEM,"[SỰ KIỆN] Phong Tỏa Biên Giới: Chỉ có Bạn và Người ngồi đối diện được AN TOÀN. Tất cả những người còn lại (hai bên sườn) phải uống.","Hai bên sườn uống 1 ly",Chaos
